Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.006820679,100.0234,15372286728.0913,4.15875,-0.3125,1
0.006820679,100.0234,15372286728.0913,4.15875,-0.3125,1
0.006820679,100.0234,15372286728.0913,4.15875,-0.3125,1
0.182521820,100.0234,15372286728.0913,4.158125,-0.9375,1
0.182521820,100.0234,15372286728.0913,4.158125,-0.9375,1
0.182521820,100.0234,15372286728.0913,4.158125,-0.9375,1
0.182521820,100.0234,15372286728.0913,4.158125,-0.9375,1
0.358303070,100.0234,15372286728.0913,4.16,-0.3125,1
0.358303070,100.0234,15372286728.0913,4.16,-0.3125,1
0.358303070,100.0234,15372286728.0913,4.16,-0.3125,1
0.358303070,100.0234,15372286728.0913,4.16,-0.3125,1
0.534129619,100.0234,15372286728.0913,4.158125,-0.3125,1
0.534129619,100.0234,15372286728.0913,4.158125,-0.3125,1
0.534129619,100.0234,15372286728.0913,4.158125,-0.3125,1
0.710078239,100.0234,15372286728.0913,4.15875,0.625,1
0.710078239,100.0234,15372286728.0913,4.15875,0.625,1
0.710078239,100.0234,15372286728.0913,4.15875,0.625,1
0.710078239,100.0234,15372286728.0913,4.15875,0.625,1
0.885719776,100.0234,15372286728.0913,4.159375,0.3125,1
0.885719776,100.0234,15372286728.0913,4.159375,0.3125,1
0.885719776,100.0234,15372286728.0913,4.159375,0.3125,1
1.061516762,100.0234,15372286728.0913,4.16,0.3125,1
1.061516762,100.0234,15372286728.0913,4.16,0.3125,1
1.061516762,100.0234,15372286728.0913,4.16,0.3125,1
1.061516762,100.0234,15372286728.0913,4.16,0.3125,1
1.237323761,100.0234,15372286728.0913,4.15875,-0.3125,1
1.237323761,100.0234,15372286728.0913,4.15875,-0.3125,1
1.237323761,100.0234,15372286728.0913,4.15875,-0.3125,1
1.413260937,100.0234,15372286728.0913,4.159375,0.625,1
1.413260937,100.0234,15372286728.0913,4.159375,0.625,1
1.413260937,100.0234,15372286728.0913,4.159375,0.625,1
1.413260937,100.0234,15372286728.0913,4.159375,0.625,1
1.588903427,100.0234,15372286728.0913,4.159375,0,1
1.588903427,100.0234,15372286728.0913,4.159375,0,1
1.588903427,100.0234,15372286728.0913,4.159375,0,1
1.764688969,100.0234,15372286728.0913,4.159375,0,1
1.764688969,100.0234,15372286728.0913,4.159375,0,1
1.764688969,100.0234,15372286728.0913,4.159375,0,1
1.764688969,100.0234,15372286728.0913,4.159375,0,1
1.940660000,100.0234,15372286728.0913,4.15875,-0.3125,1
1.940660000,100.0234,15372286728.0913,4.15875,-0.3125,1
1.940660000,100.0234,15372286728.0913,4.15875,-0.3125,1
2.116433620,100.0234,15372286728.0913,4.16,0.9375,1
2.116433620,100.0234,15372286728.0913,4.16,0.9375,1
2.116433620,100.0234,15372286728.0913,4.16,0.9375,1
2.116433620,100.0234,15372286728.0913,4.16,0.9375,1
2.292115688,100.0234,15372286728.0913,4.159375,-0.9375,1
2.292115688,100.0234,15372286728.0913,4.159375,-0.9375,1
2.292115688,100.0234,15372286728.0913,4.159375,-0.9375,1
2.467884064,100.0234,15372286728.0913,4.15875,-1.5625,1
2.467884064,100.0234,15372286728.0913,4.15875,-1.5625,1
2.467884064,100.0234,15372286728.0913,4.15875,-1.5625,1
2.467884064,100.0234,15372286728.0913,4.15875,-1.5625,1
