Time (s),X (g),Y (g),Z (g)
0.000000000,-0.005399148,-0.007283482,-0.03311478
0.020168304,0.001709814,0.01129153,-0.007798366
0.040335178,-0.008198602,-0.00753515,-0.02544571
0.060503006,-0.002968215,0.0007256994,-0.01760739
0.080670834,-0.002068952,0.003625523,-0.01610778
0.100838184,-0.001501029,-0.005766027,-0.02973545
0.121006012,-0.0002176854,0.01307785,-0.002003955
0.141173363,-0.006149027,-0.0117708,-0.02841885
0.161341190,0.001326666,0.007465448,-0.009320701
0.181509018,-0.00249833,-0.002458649,-0.02678478
0.201676369,0.001813467,-0.0003958154,-0.02722842
0.221844196,-5.935712E-05,0.002652284,-0.01325784
0.239490509,-0.002356964,-0.003619632,-0.01770441
0.259657860,0.005616587,-0.0002475042,-0.02819234
0.279825687,-0.003962358,0.005375628,-0.00839682
0.299993515,0.001921814,-0.009019973,-0.03173154
0.320160866,0.003284251,0.009304138,-0.002095102
0.340328693,-0.002951342,-0.007716922,-0.0316925
0.360496044,0.00329397,0.00138157,-0.01808555
0.380663872,-0.2750484,-0.01397717,0.3030061
0.400831699,0.2120645,0.0009867279,0.1496458
0.420999050,-0.5655725,-0.2831577,-0.5314898
0.441166878,0.01638125,0.007223137,-0.02121085
0.461334705,-0.01442024,0.003895556,-0.01923634
0.481502056,-0.06043437,-0.06338947,-0.2144388
0.501668930,0.06000089,0.1314452,0.01395245
0.521836758,-0.005715167,-0.06687725,-0.001232884
0.539483547,0.01889997,-0.08884427,-0.02288266
0.559651375,-0.01843389,-0.003679185,-0.02240174
0.579818725,0.05231407,-0.006801655,0.06038623
0.599986553,-1.801644E-05,-0.03578935,0.05160287
0.620153427,-0.03753089,-0.03901939,-0.02229134
0.640321731,-0.1550496,-0.0639851,0.01003214
0.660489559,0.101592,-0.04995785,0.02569901
0.680656433,0.05637693,-0.05752411,-0.04131266
0.700824261,0.08296189,0.1217097,-0.01011283
0.720991611,-0.06800707,0.09188122,-0.08712652
0.741159439,0.08706268,0.2452965,-0.06579965
0.761327267,0.1375037,0.133629,-0.06057023
0.781494617,0.009774134,0.04644701,-0.01202672
0.801662445,0.1523416,0.09090855,0.0631198
0.821829796,0.2419673,0.2481847,0.08207857
0.839476109,0.1167877,0.1462382,0.08231418
0.859643936,0.0755095,0.08668155,0.1312806
0.879812241,0.03783918,0.1391599,0.02731856
0.899979115,0.02197748,0.1050326,-0.008837631
0.920146942,0.09291228,0.1045992,0.008545762
0.940314293,0.163306,0.07485312,-0.009975903
0.960482121,0.1707706,0.0435755,0.008018978
0.980649948,0.1678111,0.04187578,-0.002386786
1.000817299,0.1023227,0.1051924,0.0525774
1.020985127,-0.09653854,0.126947,-0.05019797
1.041152477,-0.08187895,0.02653039,-0.1025828
1.061320305,0.03117793,-0.02839963,-0.1194124
1.081487656,0.08786127,-0.07730092,-0.08835823
1.101655483,0.1326884,-0.02490814,-0.04322546
1.121823311,0.1082538,-0.0669914,0.08211933
1.139469624,0.1108715,-0.150666,0.04933882
1.159636974,0.1602689,-0.04722162,-0.05874252
1.179804802,0.1584329,-0.07511905,-0.1228587
1.199972153,0.1901291,-0.07112123,-0.05562266
1.220139980,0.3369066,-0.1279204,-0.04080062
1.240307808,0.4124382,-0.1171703,-0.1847731
1.260475159,0.4721451,-0.08002278,-0.2433784
1.280642986,0.3833071,-0.0565431,-0.2827848
1.300809860,0.2515217,-0.06008998,-0.2117943
1.320978165,0.2684931,-0.1028229,-0.2434818
1.341145992,0.1719484,0.08590674,-0.4021704
1.361312866,-0.01175281,0.05266107,-0.5249215
1.381480694,-0.1832693,-0.076116,-0.4648949
1.401648044,-0.2032699,-0.1228479,-0.3724438
1.421815872,-0.1306263,-0.1217956,-0.2876066
1.439462662,-0.1565563,-0.1050281,-0.2350671
1.459630489,-0.2567766,-0.03246417,-0.1431387
1.479797840,-0.2997528,-0.07573198,-0.2529142
1.499965668,-0.448714,-0.0466656,-0.1590067
1.520132542,-0.318112,-0.0843702,0.1841465
1.540300369,-0.2056636,-0.1670598,0.3052782
1.560467720,-0.2747892,-0.2247113,0.3695657
1.580635548,-0.2665834,-0.1207391,0.4144483
1.600803375,-0.06591539,0.03720114,0.4930438
1.620970726,0.1802999,-0.02825504,0.6685352
1.641138554,0.09877971,0.001335539,0.5178689
1.661305904,-0.0659788,-0.05005709,0.4446085
1.681473732,-0.09020678,-0.0994741,0.4176114
1.701641560,-0.07895274,-0.06302225,0.3385658
1.721808910,-0.08908252,-0.05360356,0.2736713
1.739455223,-0.09379479,-0.09739698,0.2072761
1.759623051,-0.2513914,-0.08081648,0.0748444
1.779790401,-0.384187,-0.09739864,0.02788441
1.799958229,-0.4960296,-0.1783393,-0.1497099
1.820126057,-0.3061455,-0.2065264,-0.2810718
1.840293407,-0.3041512,-0.2055283,-0.3126954
1.860461235,-0.4175632,-0.1669209,-0.4031806
1.880628586,-0.3748859,-0.04253985,-0.5323777
1.900796413,-0.3875272,-0.03708847,-0.642151
1.920963287,-0.2591101,-0.0660871,-0.7152211
1.941131592,-0.212537,0.1290162,-0.6665611
1.961299419,-0.30363,0.02608645,-0.6265556
1.981466293,-0.2966025,0.08709525,-0.4025702
2.001634121,-0.2390029,0.2472176,-0.08302715
2.021801472,0.04865961,0.3682426,-0.004838838
2.039448261,-0.1563336,0.1929191,0.00934017
2.059616089,-0.1127122,0.177122,0.05748688
2.079783916,-0.1506298,0.1878701,0.09209465
2.099951267,-0.1177813,0.2615773,0.1003119
2.120119095,-0.04472256,0.2015632,0.2233173
2.140285969,0.01455314,0.1500743,0.2681286
2.160453796,0.1413505,0.1916007,0.2213021
2.180621147,0.1169678,0.1891324,0.1955014
2.200788975,0.2341072,0.156395,0.1974372
2.220956802,0.4011185,0.2191565,0.2314258
2.241124153,0.2800401,0.1890915,0.2127253
2.261291981,0.1148106,0.1052779,0.197407
2.281459332,0.2083695,0.1356598,0.3140204
2.301627159,0.2047957,0.1182203,0.297699
2.321794987,0.111995,0.07624938,0.2606332
2.339441776,0.1855807,0.004985156,0.1835792
2.359608650,0.2052754,0.00671636,0.2783304
2.379776478,0.3745541,-0.00357135,0.2879431
2.399943828,0.5432771,-0.1028887,0.323323
2.420111656,0.719969,-0.1637345,0.2154875
2.440279484,0.7844293,-0.2145242,0.09075122
2.460446834,0.6249269,-0.2688564,-0.02929855
2.480614662,0.4746909,-0.1425099,-0.1591973
2.500782013,0.3595223,-0.1127995,-0.1698287
2.520949840,0.3173791,-0.1167082,-0.1372167
2.541117191,0.2733117,-0.09542304,-0.1887067
2.561285019,0.3185851,-0.07520606,-0.1533376
2.581452846,0.2840499,-0.1625421,-0.1174583
2.601619720,0.3434738,0.02905741,-0.230619
2.621788025,0.332898,0.1114252,-0.3820322
2.641954899,0.2334774,0.02901994,-0.3568032
2.659601688,0.1814295,-0.03330888,-0.2752021
2.679769516,0.1681353,-0.23313,-0.2083423
2.699937344,0.1511103,0.005131312,-0.124632
2.720104694,0.1856315,0.1291801,-0.1920606
2.740272522,0.1435978,0.00835415,-0.1454493
2.760439396,0.192564,-0.006909214,-0.1182878
2.780607700,0.2158564,0.06817608,-0.07721101
2.800774574,0.1595002,0.07147758,-0.1012635
2.820942402,0.6683593,0.6457437,-0.0361312
2.841110229,0.0355162,0.09691763,-0.008330848
2.861277580,-0.008083118,0.04449201,-0.01337402
2.881445408,0.01479729,0.04051281,-0.0175976
2.901612759,0.02978857,0.1512022,-0.005096205
2.921780586,0.03754456,0.09722345,-0.0204563
2.939427376,-0.07023805,0.1392097,0.02463574
2.959595203,-0.1196251,0.1550833,-0.009810193
2.979762077,-0.1351326,0.13398,0.1458106
2.999929905,-0.1283159,-0.05625817,0.2068304
3.020097256,-0.08780847,-0.169133,0.241463
3.040265083,-0.110123,-0.01987037,0.6356103
3.060432434,-0.02894185,-0.03572339,0.5060564
3.080600262,-0.2464187,0.006702848,0.2836735
3.100768089,-0.2642086,0.03537439,0.2732962
3.120935440,-0.1805238,-0.1472193,0.3566547
3.141103268,-0.2697523,-0.2465857,0.331334
3.161270618,-0.3199882,-0.2174604,-0.02041197
3.181438446,-0.2651554,-0.1257323,0.2286066
3.201605320,-0.2470484,-0.1066783,0.1226285
3.221773624,-0.3310997,-0.06568241,0.001195349
3.241941452,-0.2971057,-0.1256846,-0.08103997
3.259587765,-0.3436356,-0.1572149,-0.2042298
3.279755116,-0.3201947,-0.1566089,-0.2897896
3.299922943,-0.2585107,-0.3908197,-0.3664786
3.320090294,-0.2743967,-0.04159536,-0.46849
3.340258121,-0.2293444,-0.07900539,-0.5390998
3.360425949,-0.2785481,-0.06220145,-0.6026344
