Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.341628,1.414987,-89.49792
0.020168304,-1.343049,1.416171,-89.49833
0.040335178,-1.341792,1.415579,-89.49903
0.060503006,-1.343244,1.413851,-89.49814
0.080670834,-1.342711,1.414361,-89.49776
0.100838184,-1.34267,1.413163,-89.49828
0.121006012,-1.342208,1.415089,-89.49776
0.141173363,-1.343602,1.414234,-89.49586
0.161341190,-1.343904,1.413794,-89.49621
0.181509018,-1.344203,1.413472,-89.49643
0.201676369,-1.344917,1.413772,-89.49574
0.219322681,-1.343535,1.413794,-89.49593
0.239490509,-1.343627,1.413076,-89.49522
0.259657860,-1.341405,1.412215,-89.49682
0.279825687,-1.342335,1.412981,-89.49632
0.299993515,-1.340532,1.412227,-89.4961
0.320160866,-1.342471,1.413788,-89.4959
0.340328693,-1.341198,1.413816,-89.49721
0.360496044,-1.342332,1.414173,-89.49776
0.380663872,-1.383825,1.097184,-88.8035
0.400831699,-0.5530703,-0.1726876,-86.00244
0.420999050,-2.17047,-0.7540737,-85.08311
0.441166878,-1.155618,-0.04781848,-84.75486
0.461334705,-1.449038,0.2253343,-84.42977
0.481502056,-1.468801,1.137237,-84.60448
0.501668930,-1.245592,1.260634,-84.90527
0.519316196,-1.43242,1.328272,-85.49773
0.539483547,-1.486794,1.310801,-85.77386
0.559651375,-1.53126,1.295614,-85.81597
0.579818725,-1.638703,1.348738,-85.86047
0.599986553,-1.714275,1.484648,-86.19108
0.620153427,-1.854806,1.520963,-86.65499
0.640321731,-1.816305,1.570512,-87.08766
0.660489559,-1.758616,1.656534,-87.18188
0.680656433,-1.974697,1.691229,-87.51758
0.700824261,-2.216446,1.6285,-87.71553
0.720991611,-2.323756,1.82979,-88.18066
0.741159439,-2.467809,1.945778,-88.27038
0.761327267,-2.614465,2.110294,-88.55058
0.781494617,-2.680885,2.313155,-89.14615
0.801662445,-2.29852,2.713169,-89.56774
0.819309235,-1.372128,3.676237,-90.13569
0.839476109,0.2862005,4.853185,-91.29938
0.859643936,2.220046,4.975262,-92.3225
0.879812241,4.595632,3.690528,-93.34394
0.899979115,8.257235,1.231787,-94.72271
0.920146942,12.92516,-1.964365,-96.01484
0.940314293,18.19711,-5.698497,-97.11327
0.960482121,24.10257,-9.956522,-98.17255
0.980649948,31.1734,-14.32814,-99.38416
1.000817299,39.19762,-18.39205,-100.87
1.020985127,46.96996,-21.46414,-102.6015
1.041152477,53.36593,-23.53858,-103.8688
1.061320305,58.45547,-25.20991,-104.5836
1.081487656,62.95711,-26.89695,-105.2227
1.101655483,67.09747,-28.47329,-105.7719
1.119301796,70.04892,-29.83525,-106.0447
1.139469624,71.89056,-31.93685,-105.735
1.159636974,72.58223,-34.64745,-104.419
1.179804802,72.40527,-37.25043,-102.621
1.199972153,70.67983,-39.65688,-100.5373
1.220139980,66.90625,-42.2999,-98.12173
1.240307808,61.89684,-45.37452,-95.42931
1.260475159,57.06062,-48.13236,-92.19381
1.280642986,52.67119,-49.96035,-87.8557
