Time (s),Humidity (%)
0.030251980,14.8418
0.080670834,14.8418
0.131090164,13.26855
0.181509018,13.7334
0.229406834,13.7334
0.279825687,13.7334
0.330245018,13.78125
0.380663872,14.83008
0.431082725,14.88965
0.481502056,14.88965
0.529399395,14.3291
0.579818725,14.55566
0.630237579,14.41309
0.680656433,15.38965
0.731075764,15.38965
0.781494617,13.1377
0.829392910,13.1377
0.879812241,14.69824
0.930231094,13.95996
0.980649948,13.7334
1.031068325,13.7334
1.081487656,13.95996
1.129385948,12.3623
1.179804802,13.25684
1.230223656,13.25684
1.280642986,13.25684
1.331061840,13.4834
1.381480694,13.4834
1.429378509,13.6377
1.479797840,12.69629
1.530216694,14.74609
1.580635548,13.24414
1.631054878,13.24414
1.681473732,13.37598
1.729371548,14.26953
1.779790401,13.31641
1.830209255,14.24609
1.880628586,14.42383
1.931047916,13.99512
1.981466293,14.50781
2.029365063,14.74609
2.079783916,13.91211
2.130202770,14.05469
2.180621147,14.69824
2.231040478,14.69824
2.281459332,14.22168
2.329357624,14.04297
2.379776478,12.7793
2.430195808,13.18457
2.480614662,14.68652
2.531033516,13.36328
2.581452846,13.36328
2.629350662,13.45898
2.679769516,12.58887
2.730188370,14.20996
2.780607700,13.54199
2.831026554,13.67285
2.881445408,14.26953
2.929343224,13.33984
2.979762077,13.33984
3.030181408,13.33984
3.080600262,13.20801
3.131019115,12.96973
3.181438446,14.16211
3.229335785,13.18457
3.279755116,13.38672
3.330173969,14.30469
3.380593300,13.68555
3.431012153,14.56738
3.481431007,14.10254
3.529328823,14.43555
3.579747677,12.92188
3.630167007,14.3877
3.680585861,13.74414
3.731004715,12.63574
3.781424046,13.87598
3.829321384,15.3291
3.879740715,13.57715
3.930159569,14.76855
3.980578423,14.25586
4.030997753,12.40918
4.081416607,14.4707
4.129314899,14.83984
4.179733276,13.31445
4.230152607,13.98145
4.280571461,13.74316
4.330990314,13.79102
4.381409645,15.24414
4.429306984,13.81445
4.479726314,14.44629
4.530145168,14.20703
4.580564022,14.75488
4.630983353,14.38574
4.681402206,13.08691
4.729300022,13.4082
4.779718876,14.70703
4.830138206,13.1582
4.880557060,13.07422
4.930975914,13.03906
4.981395245,13.52734
5.029292583,14.16992
5.079711914,13.15723
5.130130768,13.75293
5.180549622,14.05078
5.230968952,14.49219
5.281387329,13.78906
5.329285621,13.82422
5.379704475,13.27637
5.430123806,13.90723
5.480541706,13.4668
5.530961037,13.83594
5.581379890,14.70508
5.629278183,14.09766
5.679696560,13.49023
5.730115890,12.47754
5.780534744,13.01367
5.830953598,15.8252
5.881372929,14.34863
5.929270267,13.52637
5.979689598,12.82324
6.030108452,12.82324
6.080527306,14.2168
6.130945683,13.94238
6.181365013,13.35938
6.229263306,13.57324
6.279682159,14.99121
6.330100536,14.4668
6.380519867,12.5127
6.430938721,14.03809
6.481357574,14.68066
6.529255390,14.44238
6.579674244,14.35938
6.630093574,14.08496
6.680512428,14.70508
6.730930805,14.12109
6.781349659,14.26367
6.829247475,13.76367
6.879666328,13.03613
6.930085659,14.2041
6.980504513,14.40625
7.030923367,14.07227
7.081341743,14.58398
7.129240513,13.60742
7.179659367,14.00098
7.230077744,11.50977
7.280496597,13.59473
7.330915928,15.42871
7.381334782,12.74805
7.429232597,13.17676
7.479651451,13.91602
7.530069828,14.4873
7.580488682,14.83203
7.630908012,14.55859
7.681326866,13.31934
7.729224682,13.27148
7.779643536,13.24805
7.830061912,14.43945
7.880480766,14.42773
7.930900097,14.09375
7.981318951,13.5459
8.029216766,13.5459
8.079635620,15.20117
8.130053997,14.1416
8.180472851,14.11719
8.230892181,14.26074
8.281311035,14.53418
8.329208851,13.33105
8.379627704,14.28418
8.430046081,14.21289
8.480465412,14.21289
8.530884266,14.8916
8.581302643,14.10547
8.629200935,14.0459
8.679619312,13.82031
8.730038166,15.70117
8.780457497,13.92676
8.830875874,14.34375
8.881294727,14.9502
8.929192543,13.24805
8.979611397,13.93848
9.030030251,13.80762
9.080448627,13.34277
9.130867958,14.36719
9.181286812,14.35449
9.229184628,13.65234
9.279603481,14.35449
9.330021858,13.2832
9.380440712,13.2832
9.430860042,14.5332
9.481278419,14.5332
9.529175758,14.08105
9.579595089,13.60449
9.630013943,14.42676
9.680432320,15.17676
9.730851173,15.43848
9.781270504,14.43848
9.829168320,15.4502
9.882107735,15.25977
9.930005550,13.77148
9.980424404,14.31934
10.030843735,14.71289
10.081261635,14.41504
10.129159451,14.4502
10.179578781,13.36621
10.229997635,14.00977
10.280416012,14.00977
10.330834865,15.00977
10.381253242,12.77148
10.429151535,12.90234
10.482091427,13.77148
10.529989242,13.48535
10.580407619,14.35547
10.630826473,13.27148
10.681245327,13.71191
10.729143143,14.7002
10.782083034,15.06934
10.829980373,14.99805
10.880399704,13.64063
10.930818081,13.80762
10.981236935,13.75977
11.029134750,14.56934
11.079553604,14.48633
11.129971981,14.49805
11.180390835,14.16406
11.230809212,13.15234
11.281228542,13.15234
11.329125881,14.24805
11.382065773,13.58105
11.429963589,13.7002
11.480382442,13.47363
11.530800819,13.05664
11.581219673,13.71191
11.629117489,14.50977
11.682057381,14.46289
11.729954719,13.66406
11.780374050,13.81934
11.830792427,12.58008
11.881211281,12.71191
11.929109097,14.31934
11.982048512,13.2832
12.029946327,13.67676
12.080365181,14.55762
12.130783558,13.2002
12.181202889,14.50977
12.229100227,14.50977
12.282040119,14.35547
12.329937935,12.91406
12.380356788,15.20117
12.430775165,14.41504
12.481194019,13.66406
12.529091835,14.86719
12.582031727,14.92676
12.629929066,12.66406
12.680348396,13.58105
12.730766773,14.55762
12.781185627,14.43848
12.829083443,13.92578
12.882022858,15.00977
12.929920673,13.98535
