Time (s),X (g),Y (g),Z (g)
0.000000000,0.008081861,-0.004703626,-0.03326815
0.020168304,-0.01111712,0.002004907,-0.008085668
0.040335178,0.008119412,-0.007694667,-0.02561158
0.060503006,-0.0003165249,-0.002555098,-0.01780504
0.080670834,-0.003254486,-0.00166139,-0.01634645
0.100838184,0.006509028,-0.0008582715,-0.02981317
0.121006012,-0.01307011,-4.846789E-05,-0.002345026
0.141173363,0.012459,-0.005608026,-0.02845025
0.161341190,-0.007245108,0.001621056,-0.009531498
0.181509018,0.003109509,-0.001896644,-0.02694958
0.201676369,0.001089534,0.002458721,-0.02734447
0.221844196,-0.002331551,0.0002782457,-0.01340705
0.239490509,0.004049579,-0.001980448,-0.01778084
0.259657860,0.0009974167,0.006296078,-0.02822804
0.279825687,-0.005218586,-0.003726076,-0.008675694
0.299993515,0.009852167,0.002590267,-0.03166032
0.320160866,-0.00925169,0.003431397,-0.002260089
0.340328693,0.008502092,-0.002286149,-0.03176844
0.360496044,-0.0009073839,0.00374365,-0.01815379
0.380663872,0.002420925,-0.2835174,0.2984065
0.400831699,0.01431016,0.210927,0.1526624
0.420999050,0.2273403,-0.5692062,-0.5601162
0.441166878,-0.005735759,0.0174615,-0.02100217
0.461334705,-0.005221661,-0.01353248,-0.01973629
0.481502056,0.06190971,-0.06084972,-0.2163312
0.501668930,-0.1263397,0.07143857,0.01280749
0.521836758,0.06648628,-0.01092267,2.861023E-05
0.539483547,0.0908262,0.01288554,-0.02062434
0.559651375,0.002842082,-0.0181134,-0.02298719
0.579818725,0.009165311,0.05010859,0.06248897
0.599986553,0.03448039,-0.003984293,0.05277497
0.620153427,0.03747725,-0.03917139,-0.02272856
0.640321731,0.05592631,-0.1589528,0.006613135
0.660489559,0.05431639,0.09847543,0.03050238
0.680656433,0.06132457,0.05536138,-0.03790331
0.700824261,-0.1183859,0.08851539,-0.01015854
0.720991611,-0.09147572,-0.06155406,-0.09327781
0.741159439,-0.2410153,0.09787573,-0.0703795
0.761327267,-0.1282274,0.144181,-0.05926502
0.781494617,-0.04592891,0.01114362,-0.01347971
0.801662445,-0.09297124,0.151047,0.06529492
0.821829796,-0.2551033,0.2402314,0.07055837
0.839476109,-0.1558334,0.1141434,0.06928337
0.859643936,-0.1011323,0.07685725,0.1209262
0.879812241,-0.1430629,0.03111131,0.01582921
0.899979115,-0.1065938,0.0115557,-0.01300126
0.920146942,-0.1137451,0.08241346,-0.006051838
0.940314293,-0.0952931,0.1454111,-0.04834789
0.960482121,-0.0651847,0.1571158,-0.04869217
0.980649948,-0.06730309,0.1438704,-0.06971335
1.000817299,-0.1000139,0.1189759,0.01813012
1.020985127,-0.1144082,-0.09000474,0.08320975
1.041152477,-0.04673442,-0.1251696,0.01397097
1.061320305,-0.03314605,-0.08005947,-0.09339598
1.081487656,0.006067216,-0.04349792,-0.1408201
1.101655483,-0.03122738,0.02264881,-0.1369366
1.121823311,0.07120848,0.09210294,-0.09751222
1.139469624,0.1240765,0.02766955,-0.1467533
1.159636974,-0.02859414,0.000593245,-0.1755004
1.179804802,-0.04368496,-0.06428683,-0.2006524
1.199972153,-0.008444965,0.004382014,-0.2111355
1.220139980,0.03105086,0.06105518,-0.357565
1.240307808,-0.07763302,0.03523737,-0.4609989
1.260475159,-0.1410643,0.08336776,-0.5138282
1.280642986,-0.172439,0.04330093,-0.4477
1.300809860,-0.1038291,0.00674054,-0.3192847
1.320978165,-0.0763855,-0.02437645,-0.3700933
1.341145992,-0.3071755,0.000158608,-0.3259006
1.361312866,-0.4163232,-0.1546648,-0.2900178
1.381480694,-0.3655201,-0.3016812,-0.1838979
1.401648044,-0.2906595,-0.3014373,-0.1487656
1.421815872,-0.1939259,-0.2322451,-0.1565828
1.439462662,-0.19292,-0.2055372,-0.1117153
1.459630489,-0.2634794,-0.138346,-0.0002843738
1.479797840,-0.3278627,-0.2114193,-0.09688437
1.499965668,-0.4408772,-0.1930136,0.01114863
1.520132542,-0.2399591,-0.1058402,0.2744612
1.540300369,-0.1131589,-0.1292293,0.3688835
1.560467720,-0.178537,-0.1772073,0.4503577
1.580635548,-0.1968888,-0.06530634,0.4667476
1.600803375,-0.02843571,0.1215065,0.4864258
1.620970726,0.2342514,0.1026756,0.6490798
1.641138554,0.1441463,0.08888426,0.5030136
1.661305904,-0.004739515,0.02401248,0.4546341
1.681473732,-0.003464833,-0.01129472,0.4414299
1.701641560,0.01204607,0.02802894,0.3543236
1.721808910,0.003744692,0.03974122,0.2919236
1.739455223,-0.002206266,-0.006419539,0.2489436
1.759623051,-0.183728,-0.01108217,0.205883
1.779790401,-0.299879,-0.002171397,0.2642678
1.799958229,-0.4505562,-0.11659,0.2950718
1.820126057,-0.3499662,-0.2485795,0.1824883
1.840293407,-0.3499383,-0.2564645,0.2156366
1.860461235,-0.4814811,-0.2440399,0.2770509
1.880628586,-0.5653495,-0.2792656,0.1786921
1.900796413,-0.6259703,-0.3555393,0.2241706
1.920963287,-0.5512905,-0.4891815,0.20966
1.941131592,-0.5792352,-0.4119011,0.06746475
1.961299419,-0.5231086,-0.4021396,0.2310953
1.981466293,-0.4259776,-0.2131476,0.1808848
2.001634121,-0.3433643,0.08835411,0.03105966
2.021801472,-0.2459347,0.1132923,-0.2565584
2.039448261,-0.2236623,0.1090548,0.02507283
2.059616089,-0.1773027,0.1285046,0.006780514
2.079783916,-0.1986764,0.1609935,0.0442991
2.099951267,-0.2556927,0.167592,-0.004272923
2.120119095,-0.1609851,0.2561909,-0.04370154
2.140285969,-0.1041436,0.2807899,-0.0756238
2.160453796,-0.1394522,0.2214512,-0.1943133
2.180621147,-0.1611399,0.1944906,-0.1561747
2.200788975,-0.1270443,0.1916972,-0.2565533
2.220956802,-0.1858764,0.2433518,-0.4119519
2.241124153,-0.1757328,0.2453187,-0.262775
2.261291981,-0.09674482,0.2215366,-0.07219427
