Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.1578665,0.9599605,14.71888
0.020168304,0.1947631,0.9854727,14.71888
0.040335178,0.05641996,0.9677032,14.71888
0.060503006,0.2211554,0.9755354,15.49238
0.080670834,0.1906552,0.9770494,15.49238
0.100838184,0.09686633,0.9633385,15.57217
0.121006012,0.2358834,0.9913266,15.57217
0.141173363,0.1262096,0.9647374,15.57217
0.161341190,0.2886326,0.9839029,14.69775
0.178987980,0.2710987,0.9830647,14.69775
0.199155808,0.1969066,0.9560507,14.99524
0.219322681,0.196172,0.9737343,14.99524
0.239490509,0.1995375,0.9754426,15.26365
0.259657860,0.06362317,0.9648903,15.26365
0.279825687,0.01256149,0.9848261,15.26365
0.299993515,0.218005,0.9613549,14.99524
0.320160866,0.1155618,0.9911975,14.99524
0.340328693,0.234707,0.9613855,15.30581
0.360496044,0.09047563,0.9750556,15.30581
0.380663872,141.7276,1.327406,15.30581
0.400831699,151.0096,1.16355,14.73185
0.420999050,73.00399,0.7829376,14.73185
0.441166878,23.38507,0.972067,15.28569
0.461334705,34.03119,0.9740049,15.28569
0.481502056,28.75822,0.7823149,15.28149
0.499148369,28.81088,1.017443,15.28149
0.519316196,26.37986,0.9401859,15.28149
0.539483547,4.04531,0.9744923,14.52904
0.559651375,1.747761,0.9708869,14.52904
0.579818725,20.99876,1.055383,15.90411
0.599986553,27.73811,1.045829,15.90411
0.620153427,24.32811,0.9723347,15.90411
0.640321731,12.29401,1.017381,14.73006
0.660489559,16.76433,1.025445,14.73006
0.680656433,22.45587,0.9550915,14.42885
0.700824261,18.63971,0.9941288,14.42885
0.720991611,26.85739,0.912781,14.42885
0.741159439,16.44599,0.9631139,13.80297
0.761327267,34.74944,0.9519297,13.80297
0.781494617,25.88688,0.9823089,13.80297
0.799141407,39.81186,1.094563,13.80297
0.819309235,98.35931,1.160266,13.80297
0.839476109,116.99,1.092393,12.49162
0.859643936,113.894,1.131329,12.49162
