Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.008730145,0.9962757,0.02355392,-0.996248,0.009306736,-0.02440264,-0.02469368,-0.02324861,0.9926777
0.020168304,0.00872311,0.9962753,0.02357863,-0.9962478,0.009300793,-0.02442314,-0.02471434,-0.02327324,0.9926771
0.040335178,0.008710838,0.996276,0.02355642,-0.9962482,0.009287743,-0.02441338,-0.024704,-0.02325146,0.9926777
0.060503006,0.008726423,0.9962752,0.02358161,-0.9962488,0.009303232,-0.02438256,-0.02467386,-0.02327665,0.9926781
0.080670834,0.00873287,0.9962755,0.02357263,-0.9962485,0.009309663,-0.02439141,-0.02468274,-0.0232674,0.9926782
0.100838184,0.008724038,0.9962754,0.02357144,-0.996249,0.009300319,-0.02437074,-0.02466185,-0.02326669,0.9926784
0.121006012,0.008732882,0.9962755,0.02356406,-0.9962481,0.009309762,-0.02440422,-0.02469545,-0.02325867,0.9926778
0.141173363,0.008766,0.9962745,0.02358885,-0.9962481,0.009343119,-0.02438822,-0.02468053,-0.02328283,0.9926775
0.161341190,0.008759914,0.9962745,0.02359384,-0.9962484,0.009336979,-0.02438062,-0.02467286,-0.02328807,0.9926778
0.181509018,0.008756093,0.9962744,0.02359886,-0.9962485,0.009333152,-0.02437502,-0.02466723,-0.02329325,0.9926777
0.201676369,0.00876801,0.9962742,0.0236116,-0.9962484,0.009345496,-0.02437982,-0.02467247,-0.02330563,0.9926776
0.219322681,0.008764804,0.9962747,0.02358758,-0.9962484,0.009341714,-0.02438058,-0.02467285,-0.02328169,0.992678
0.239490509,0.008777075,0.9962745,0.02358931,-0.9962485,0.009353727,-0.02436776,-0.02466033,-0.02328328,0.9926784
0.259657860,0.008749313,0.9962757,0.02354994,-0.9962493,0.009324667,-0.02435389,-0.02464531,-0.02324479,0.9926796
0.279825687,0.008758132,0.9962751,0.02356644,-0.9962486,0.009334197,-0.02436683,-0.02465867,-0.0232609,0.9926785
0.299993515,0.008761838,0.9962758,0.02353513,-0.996249,0.009336828,-0.02435399,-0.02464551,-0.02322967,0.9926797
0.320160866,0.008765411,0.996275,0.02356915,-0.9962483,0.009341867,-0.02438071,-0.02467276,-0.02326325,0.9926783
0.340328693,0.008742535,0.9962759,0.02354654,-0.9962486,0.009318463,-0.02438202,-0.02467324,-0.0232412,0.9926789
0.360496044,0.008732872,0.9962755,0.02356602,-0.9962485,0.009309427,-0.02438821,-0.02467947,-0.02326084,0.9926782
0.380663872,0.02080542,0.9960346,0.0244445,-0.9961504,0.02126361,-0.0185551,-0.0191483,-0.02398265,0.9927829
0.400831699,0.06946165,0.9939188,0.009341755,-0.9939581,0.0694297,0.003706436,0.003013962,-0.009587601,0.9932046
0.420999050,0.08538878,0.9920034,0.03629655,-0.99258,0.08483849,0.0164496,0.01316069,-0.03761416,0.9924583
0.441166878,0.09108005,0.9919429,0.0198627,-0.9921414,0.09104431,0.002729136,0.0008345898,-0.02003194,0.9930534
0.461334705,0.09670516,0.9912652,0.02538509,-0.9915825,0.09677277,-0.001389496,-0.003932815,-0.02511706,0.992931
0.481502056,0.09366424,0.9915174,0.0272709,-0.9916939,0.09415641,-0.01726706,-0.01984722,-0.02545469,0.9927325
0.499148369,0.08982543,0.9919872,0.0232973,-0.9920298,0.09028292,-0.01930949,-0.02140887,-0.02138413,0.9927963
0.519316196,0.07819134,0.9929271,0.02664292,-0.993014,0.07876366,-0.0210631,-0.02318064,-0.02482252,0.9926765
0.539483547,0.07340644,0.9932863,0.0274571,-0.9934024,0.07399078,-0.02081422,-0.0228758,-0.02576474,0.9926594
0.559651375,0.07267689,0.993322,0.02818989,-0.9934646,0.0732699,-0.020511,-0.02261081,-0.0265353,0.9926454
0.579818725,0.07190408,0.9933248,0.03010042,-0.993502,0.0725634,-0.02131495,-0.02353774,-0.02839607,0.9925727
0.599986553,0.06616741,0.9937012,0.03144866,-0.9938611,0.06693057,-0.02376046,-0.0259091,-0.02970348,0.9924758
0.620153427,0.05811891,0.994157,0.03372464,-0.9943747,0.05896328,-0.02449406,-0.0265427,-0.03213713,0.9923832
0.640321731,0.05060836,0.9946201,0.03291948,-0.9947872,0.0514663,-0.02564746,-0.02740717,-0.03146954,0.9923813
0.660489559,0.04897078,0.9947388,0.03195791,-0.9948322,0.04985124,-0.02725291,-0.02890794,-0.03046901,0.9923697
0.680656433,0.04314112,0.9949061,0.03556562,-0.995104,0.0441465,-0.0278656,-0.02951322,-0.03421073,0.9922305
0.700824261,0.03970463,0.9949083,0.03960583,-0.9952908,0.04078447,-0.02671017,-0.02841887,-0.03839822,0.99211
0.720991611,0.03162104,0.9951536,0.04136859,-0.9955011,0.0328999,-0.03046989,-0.03193044,-0.04025197,0.9919299
0.741159439,0.0300604,0.9950997,0.04388224,-0.9954879,0.03150522,-0.0324678,-0.03395371,-0.04274289,0.9917594
0.761327267,0.0251896,0.9951398,0.04634388,-0.9955376,0.0268529,-0.03547072,-0.03682325,-0.04527665,0.9915453
0.781494617,0.01483858,0.9953433,0.0471873,-0.9956435,0.01671484,-0.03946099,-0.04036121,-0.04641965,0.9913552
0.801662445,0.007509951,0.995751,0.04035009,-0.9954433,0.009405458,-0.04685993,-0.04733604,-0.03979047,0.991335
0.819309235,-0.002355476,0.9963418,0.02384973,-0.9945625,-0.0008234902,-0.06407581,-0.06411843,-0.02373493,0.9909075
0.839476109,-0.02252026,0.9964218,-0.006591756,-0.9928455,-0.02301047,-0.08449037,-0.0846028,0.00494346,0.9896455
0.859643936,-0.04023978,0.9950735,-0.04166718,-0.9921623,-0.04369839,-0.08517248,-0.08672562,0.03832979,0.9887344
0.879812241,-0.05802291,0.9916616,-0.08298825,-0.9930441,-0.06309447,-0.05969177,-0.06436735,0.07941665,0.9879984
0.899979115,-0.08205932,0.9830418,-0.1438885,-0.9932839,-0.0843346,-0.009943664,-0.02149708,0.1426207,0.9827636
0.920146942,-0.1044075,0.9673085,-0.2176524,-0.9909003,-0.09432043,0.05578095,0.03427792,0.2220566,0.9675974
0.940314293,-0.1228509,0.9439386,-0.2965996,-0.984445,-0.08680005,0.1310503,0.09929366,0.3086847,0.9390293
0.960482121,-0.1395943,0.9112665,-0.3798727,-0.972016,-0.06000662,0.2127055,0.1729008,0.399565,0.8931313
0.980649948,-0.1575026,0.8630914,-0.4739025,-0.9530302,-0.01358032,0.2913687,0.2474748,0.4982324,0.8235418
1.000817299,-0.178398,0.7972143,-0.5719109,-0.9290217,0.04878691,0.3570219,0.3155175,0.5958149,0.730603
1.020985127,-0.2024068,0.7233974,-0.6560091,-0.9054033,0.1107948,0.400596,0.3659189,0.6759648,0.6310101
1.041152477,-0.2190653,0.6556959,-0.7188922,-0.8872707,0.1663119,0.42098,0.3993665,0.73112,0.5436524
1.061320305,-0.2270837,0.5976418,-0.7655351,-0.8728106,0.2174405,0.4274455,0.4259358,0.7663761,0.4704553
1.081487656,-0.2334049,0.5447464,-0.8022487,-0.857728,0.2669751,0.4295129,0.4523873,0.7895758,0.4030537
1.101655483,-0.2381353,0.4943992,-0.8329,-0.8431271,0.3141518,0.426124,0.4767491,0.8049935,0.3400843
1.119301796,-0.2389362,0.4578708,-0.8533057,-0.8308202,0.3522391,0.4201722,0.4975078,0.8106548,0.2942705
1.139469624,-0.229307,0.4362776,-0.8671114,-0.8138771,0.3966588,0.4133353,0.5289843,0.8018128,0.2622188
1.159636974,-0.2040395,0.4256617,-0.8785281,-0.7935859,0.4478303,0.3998805,0.5685253,0.7800609,0.2447219
1.179804802,-0.1731598,0.4215893,-0.8869618,-0.7733374,0.4940273,0.3844599,0.6053001,0.7537391,0.2390236
1.199972153,-0.1401013,0.4356857,-0.8858612,-0.7531848,0.5287301,0.3779504,0.6381886,0.7213264,0.2528899
1.220139980,-0.1039141,0.475593,-0.8700398,-0.7281576,0.5547817,0.3892516,0.6730114,0.6749383,0.2877985
1.240307808,-0.06604049,0.5275672,-0.8432151,-0.6948399,0.5779564,0.4153558,0.7117138,0.6139997,0.3278887
1.260475159,-0.02535924,0.5658748,-0.820103,-0.6619833,0.6014178,0.4350557,0.7446887,0.5543293,0.3591524
1.280642986,0.02386892,0.5812067,-0.8091495,-0.6374807,0.6288422,0.4326537,0.7655995,0.5057367,0.3856701
1.300809860,0.09239209,0.5788955,-0.8055903,-0.6218292,0.6622534,0.4043974,0.7729322,0.4637767,0.4217788
1.320978165,0.1824934,0.5641325,-0.8002968,-0.6064376,0.7024939,0.3567252,0.7687353,0.4204449,0.4715368
1.341145992,0.2825367,0.5306923,-0.7936549,-0.5874465,0.7474978,0.2904597,0.7526148,0.3844814,0.524843
1.361312866,0.3860906,0.4904534,-0.775268,-0.5681985,0.7868317,0.2144626,0.7202328,0.3581888,0.5850422
1.381480694,0.4953155,0.4544867,-0.7334976,-0.5413427,0.8211356,0.1428319,0.671956,0.3269477,0.6560568
1.401648044,0.605677,0.419905,-0.667836,-0.5030841,0.8532509,0.07980603,0.6076442,0.2883443,0.7320814
