Time (s),W,X,Y,Z
0.000000000,0.7101865,-0.0004062394,-0.01698413,0.7014086
0.020168304,0.710184,-0.0004047926,-0.01700016,0.7014108
0.040335178,0.7101797,-0.0004090237,-0.01698881,0.7014154
0.060503006,0.7101852,-0.0003893056,-0.01698693,0.70141
0.080670834,0.7101875,-0.0003956736,-0.01698684,0.7014077
0.100838184,0.7101844,-0.0003886497,-0.01697914,0.7014109
0.121006012,0.7101875,-0.0004032552,-0.0169883,0.7014076
0.141173363,0.7101992,-0.0003891101,-0.0169915,0.7013957
0.161341190,0.710197,-0.000384595,-0.0169906,0.701398
0.181509018,0.7101957,-0.0003808004,-0.01699042,0.7013993
0.199155808,0.7102001,-0.0003776702,-0.01699204,0.7013949
0.219322681,0.7101988,-0.0003868256,-0.01698835,0.7013963
0.239490509,0.7102031,-0.0003817488,-0.01698445,0.7013921
0.259657860,0.7101933,-0.0003904207,-0.01696554,0.7014024
0.279825687,0.7101964,-0.000389305,-0.01697598,0.7013988
0.299993515,0.7101977,-0.0003957764,-0.01696029,0.701398
0.320160866,0.7101989,-0.0003933607,-0.01698183,0.7013962
0.340328693,0.7101909,-0.0004015866,-0.01697423,0.7014046
0.360496044,0.7101875,-0.0003968595,-0.01698336,0.7014077
0.380663872,0.7144222,0.001899282,-0.01525456,0.6971315
0.400831699,0.7312388,0.004545039,-0.002163381,0.6796265
0.420999050,0.7364493,0.01835284,-0.007853854,0.6736999
0.441166878,0.7385666,0.007704476,-0.006440892,0.6715996
0.461334705,0.740465,0.008011034,-0.009898478,0.6694603
0.481502056,0.7394758,0.002768049,-0.01592957,0.6704788
0.499148369,0.7381817,0.0007026166,-0.01514064,0.671927
0.519316196,0.7342302,0.001280055,-0.01696456,0.6761984
0.539483547,0.7325984,0.001689371,-0.01717616,0.6779597
0.559651375,0.7323484,0.002056501,-0.01734171,0.6782245
0.579818725,0.7320834,0.00241814,-0.01831696,0.6784837
0.599986553,0.730123,0.002034937,-0.01963976,0.6805574
0.620153427,0.72736,0.00262699,-0.02071441,0.6834757
0.640321731,0.7247759,0.002008233,-0.02080872,0.6862146
0.660489559,0.7242128,0.001110204,-0.02101104,0.6868047
0.680656433,0.7221951,0.002196476,-0.02252814,0.6888756
0.700824261,0.7209964,0.004052741,-0.02358705,0.6900863
