Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1241825,-0.06496385,-0.07266529,-0.01661182,-0.02795224,0.9594096,9.847301,-0.1462641,10.93867,1029.479
0.020168304,-0.0005793124,-0.004865611,-0.1947015,-0.03583146,-0.02126833,0.9845914,9.847301,-0.1462641,10.93867,1029.479
0.040335178,-0.0007716343,0.05523261,-0.01148806,-0.01658459,-0.03094613,0.9670661,9.847301,-0.1462641,10.93867,1029.479
0.060503006,-0.06229914,-0.124919,0.1715335,-0.02499038,-0.02583174,0.9748731,9.448261,-0.173835,12.27657,1029.479
0.080670834,-0.1241177,0.05533223,-0.1337256,-0.02793723,-0.02492879,0.9763317,9.448261,-0.173835,12.27657,1029.479
0.100838184,-0.06219937,0.05538193,0.04946884,-0.01815283,-0.02412496,0.9628652,10.60579,-0.141197,11.4013,1029.479
0.121006012,-0.0005331263,0.2355954,-0.01164017,-0.03776556,-0.02330714,0.9903328,10.60579,-0.141197,11.4013,1029.479
0.141173363,0.061327,-0.004755747,0.1102055,-0.01222154,-0.02889086,0.9642273,10.60579,-0.141197,11.4013,1029.479
0.161341190,-0.247346,-0.06477334,-0.1339147,-0.03191797,-0.02166701,0.9831463,10.25878,-0.884294,10.48806,1029.479
0.178987980,0.06146447,-0.06461222,-0.2560115,-0.03585801,-0.01929986,0.9822209,10.25878,-0.884294,10.48806,1029.477
0.199155808,-0.1856407,-0.06456317,-0.01188911,-0.01370851,-0.02591459,0.9556011,10.24125,-0.5158007,10.94111,1029.477
0.219322681,0.1848737,-0.06453305,-0.01185926,-0.0304496,-0.02007977,0.973051,10.24125,-0.5158007,10.94111,1029.477
0.239490509,-0.1856582,-0.004379272,-0.07298665,-0.02061075,-0.02526373,0.9748976,10.62332,-0.5096905,10.94825,1029.477
0.259657860,-0.06238533,-0.004255071,-0.01174191,-0.02364789,-0.01694871,0.9644516,10.62332,-0.5096905,10.94825,1029.477
0.279825687,-0.0005829334,-0.004244376,-0.01180833,-0.02987726,-0.02698698,0.9840028,10.62332,-0.5096905,10.94825,1029.477
0.299993515,0.1227873,0.05575809,0.1712907,-0.01479335,-0.0206394,0.9610194,10.24125,-0.5158007,10.94111,1029.477
0.320160866,-0.06226427,-0.06451638,-0.07290623,-0.03392445,-0.01983185,0.9904182,10.24125,-0.5158007,10.94111,1029.477
0.340328693,0.1846298,0.05568569,-0.1337846,-0.01617115,-0.02552735,0.9609105,10.21184,0.2283394,11.39886,1029.477
0.360496044,-0.06231943,-0.06455088,-0.01163236,-0.02558685,-0.01951719,0.9745244,10.21184,0.2283394,11.39886,1029.476
0.380663872,30.87083,-38.57964,132.8357,-0.01672737,-0.3075001,1.291189,10.21184,0.2283394,11.39886,1029.476
0.400831699,-35.93464,-100.228,107.0839,0.01732413,0.2013394,1.145867,9.859178,-0.5219109,10.93397,1029.472
0.420999050,60.07507,20.72531,35.93092,0.240501,-0.6068204,0.4323421,9.859178,-0.5219109,10.93397,1029.472
0.441166878,-19.2024,13.33473,-0.5609182,-0.004901169,-0.002570435,0.9720513,10.6352,-0.8853374,10.94354,1029.472
0.461334705,-13.76905,29.85839,8.775621,-0.009154476,-0.03864953,0.9731947,10.6352,-0.8853374,10.94354,1029.472
0.478980541,7.902589,41.69535,-16.61,0.06955447,-0.09806778,0.9345017,10.6352,-0.8853374,10.94354,1029.472
0.499148369,-2.470162,11.47206,-26.31268,-0.1662683,0.07193201,1.001184,11.0348,-1.24772,10.49763,1029.472
0.519316196,-4.32244,-0.9056734,-26.00756,0.0263629,-0.05514339,0.9381971,11.0348,-1.24772,10.49763,1029.472
0.539483547,-2.037965,0.1758759,-3.490029,0.06795041,-0.01287921,0.9720351,9.500857,-1.279315,10.91741,1029.472
0.559651375,0.3082533,-0.004382316,-1.720358,-0.01976873,-0.0446487,0.9696582,9.500857,-1.279315,10.91741,1029.472
0.579818725,-18.52323,9.729562,-1.781381,-0.01437243,0.02171251,1.055062,11.02349,-1.262028,11.39432,1029.472
