Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.030251980,49.126,33.746
0.080670834,49.108,33.746
0.131090164,49.126,33.746
0.181509018,49.136,33.746
0.229406834,49.132,33.746
0.279825687,49.158,33.746
0.330245018,49.148,33.746
0.380663872,49.138,33.746
0.431082725,49.124,33.746
0.481502056,49.088,33.746
0.529399395,49.128,33.746
0.579818725,49.174,33.746
0.630237579,49.106,33.746
0.680656433,49.124,33.746
0.731075764,49.142,33.746
0.781494617,49.122,33.746
0.829392910,49.168,33.746
0.879812241,49.158,33.746
0.930231094,49.116,33.746
0.980649948,49.182,33.746
1.031068325,49.112,33.746
1.081487656,49.142,33.746
1.129385948,49.172,33.746
1.179804802,49.156,33.746
1.230223656,49.138,33.746
1.280642986,49.16,33.746
1.331061840,49.166,33.746
1.381480694,49.086,33.746
1.429378509,49.118,33.746
1.479797840,49.128,33.746
1.530216694,49.11,33.746
1.580635548,49.19,33.746
1.631054878,49.146,33.746
1.681473732,49.154,33.746
1.729371548,49.118,33.746
1.779790401,49.142,33.746
1.830209255,49.06,33.746
1.880628586,49.116,33.746
1.931047916,49.156,33.746
1.981466293,49.126,33.746
2.029365063,49.096,33.746
2.079783916,49.152,33.746
2.130202770,49.174,33.746
2.180621147,49.152,33.744
2.231040478,49.124,33.744
2.281459332,49.128,33.744
2.329357624,49.134,33.744
2.379776478,49.126,33.744
2.430195808,49.12,33.744
2.480614662,49.146,33.744
2.531033516,49.16,33.744
2.581452846,49.136,33.744
2.629350662,49.062,33.744
2.679769516,49.134,33.744
2.730188370,49.126,33.744
2.780607700,49.148,33.744
2.831026554,49.114,33.744
2.881445408,49.108,33.744
2.929343224,49.136,33.744
2.979762077,49.106,33.744
3.030181408,49.112,33.744
3.080600262,49.146,33.744
3.131019115,49.148,33.744
3.181438446,49.148,33.744
3.229335785,49.152,33.744
3.279755116,49.09,33.744
3.330173969,49.098,33.744
3.380593300,49.064,33.742
3.431012153,49.1,33.742
3.481431007,49.126,33.742
3.529328823,49.126,33.742
3.579747677,49.136,33.742
3.630167007,49.08,33.74
3.680585861,49.124,33.74
3.731004715,49.1,33.74
3.781424046,49.116,33.74
3.829321384,49.144,33.74
3.879740715,49.116,33.74
3.930159569,49.1,33.738
3.980578423,49.122,33.738
4.030997753,49.142,33.738
4.081416607,49.12,33.736
4.129314899,49.112,33.736
4.179733276,49.114,33.734
4.230152607,49.1,33.734
4.280571461,49.056,33.734
4.330990314,49.108,33.732
4.381409645,49.094,33.732
4.429306984,49.09,33.73
4.479726314,49.112,33.73
4.530145168,49.076,33.728
4.580564022,49.074,33.728
4.630983353,49.112,33.728
4.681402206,49.07,33.726
4.729300022,49.09,33.726
4.779718876,49.07,33.724
4.830138206,49.06,33.724
4.880557060,49.1,33.724
4.930975914,49.068,33.722
4.981395245,49.122,33.722
5.029292583,49.124,33.72
5.079711914,49.118,33.72
5.130130768,49.082,33.72
5.180549622,49.108,33.72
5.230968952,49.042,33.718
5.281387329,49.092,33.718
5.329285621,49.062,33.718
5.379704475,49.094,33.718
5.430123806,49.06,33.716
5.480541706,49.07,33.716
5.530961037,49.06,33.716
5.581379890,49.056,33.716
5.629278183,49.094,33.716
5.679696560,49.072,33.714
5.730115890,49.052,33.714
5.780534744,49.068,33.714
5.830953598,49.102,33.714
5.881372929,49.092,33.714
5.929270267,49.092,33.714
5.979689598,49.028,33.714
6.030108452,49.088,33.714
6.080527306,49.086,33.714
6.130945683,49.066,33.714
6.181365013,49.078,33.714
6.229263306,49.126,33.712
6.279682159,49.106,33.712
6.330100536,49.102,33.712
6.380519867,49.07,33.712
6.430938721,49.066,33.712
6.481357574,49.08,33.712
6.529255390,49.038,33.71
6.579674244,49.066,33.71
6.630093574,49.104,33.71
6.680512428,49.06,33.71
6.730930805,49.042,33.71
6.781349659,49.104,33.708
6.829247475,49.11,33.708
6.879666328,49.024,33.706
6.930085659,49.068,33.706
6.980504513,49.042,33.706
7.030923367,49.022,33.704
7.081341743,49.088,33.702
7.129240513,49.056,33.7
7.179659367,49.056,33.7
7.230077744,49.048,33.698
7.280496597,48.982,33.696
7.330915928,49.058,33.694
7.381334782,49.008,33.694
7.429232597,49.03,33.692
7.479651451,49.028,33.692
7.530069828,49.024,33.69
7.580488682,49.022,33.688
7.630908012,49.02,33.688
7.681326866,49.072,33.688
7.729224682,49.014,33.686
7.779643536,49.038,33.686
7.830061912,49.02,33.686
7.880480766,49.012,33.686
7.930900097,49.04,33.686
7.981318951,48.992,33.686
8.029216766,49.018,33.686
8.079635620,49.032,33.686
8.130053997,49.046,33.686
8.180472851,49.042,33.686
8.230892181,49.028,33.686
8.281311035,48.994,33.686
8.329208851,49.018,33.686
8.379627704,49.042,33.686
8.430046081,48.99,33.686
8.480465412,48.976,33.686
8.530884266,49.016,33.686
8.581302643,49.02,33.686
8.629200935,48.996,33.686
8.679619312,49.012,33.686
8.730038166,49.046,33.686
8.780457497,48.962,33.684
8.830875874,49.006,33.684
8.881294727,49.024,33.684
8.929192543,48.998,33.682
8.979611397,49.018,33.682
9.030030251,48.994,33.682
9.080448627,48.962,33.682
9.130867958,49.026,33.68
9.181286812,48.96,33.68
9.229184628,49.01,33.68
9.279603481,48.988,33.68
9.330021858,49.046,33.68
9.380440712,48.978,33.68
9.430860042,49.06,33.68
9.481278419,48.974,33.68
9.529175758,49.044,33.68
9.579595089,48.99,33.68
9.630013943,49.028,33.68
9.680432320,48.994,33.68
9.730851173,48.962,33.68
9.781270504,48.97,33.682
9.829168320,49.046,33.682
9.879587173,49.016,33.682
9.930005550,48.998,33.682
9.980424404,48.972,33.682
10.030843735,49.032,33.682
10.081261635,49.022,33.682
10.129159451,48.956,33.682
10.179578781,48.99,33.684
10.229997635,48.952,33.684
10.280416012,48.972,33.684
10.330834865,49.004,33.684
10.381253242,48.922,33.684
10.429151535,48.96,33.682
10.479569912,48.966,33.682
10.529989242,48.976,33.682
10.580407619,48.974,33.682
10.630826473,48.97,33.682
10.681245327,48.956,33.682
10.729143143,48.92,33.682
10.779561520,48.966,33.682
10.829980373,48.952,33.682
10.880399704,48.952,33.68
10.930818081,49.016,33.68
10.981236935,48.992,33.68
11.029134750,48.99,33.68
11.079553604,48.948,33.68
11.129971981,48.994,33.68
11.180390835,48.918,33.68
11.230809212,48.962,33.68
11.281228542,48.936,33.68
11.329125881,48.966,33.68
11.379545212,48.976,33.68
11.429963589,49.026,33.68
11.480382442,48.918,33.682
11.530800819,48.98,33.682
11.581219673,48.924,33.682
11.629117489,48.946,33.682
11.679536343,48.962,33.682
11.729954719,48.962,33.682
11.780374050,48.974,33.682
11.830792427,48.99,33.682
11.881211281,48.968,33.682
11.929109097,48.934,33.682
11.979527950,48.976,33.682
12.029946327,49.012,33.682
12.080365181,48.974,33.682
12.130783558,48.938,33.682
12.181202889,48.944,33.682
12.229100227,48.962,33.682
12.279519558,48.926,33.682
12.329937935,48.922,33.682
12.380356788,48.952,33.682
12.430775165,48.95,33.682
12.481194019,48.958,33.682
12.529091835,48.904,33.682
12.579510212,48.902,33.682
12.629929066,48.94,33.682
12.680348396,48.906,33.682
12.730766773,48.93,33.68
12.781185627,48.934,33.68
12.829083443,48.912,33.68
12.882022858,48.94,33.68
12.929920673,48.902,33.68
12.980339050,48.946,33.678
13.030757904,48.958,33.678
13.081176281,48.93,33.678
13.129074097,48.954,33.678
13.182013989,48.962,33.676
13.229911327,48.898,33.676
13.280330658,48.924,33.676
13.330749035,48.936,33.676
13.381167888,48.912,33.676
13.429065704,48.912,33.674
13.479484558,48.888,33.674
13.529902935,48.904,33.674
13.580321789,48.87,33.674
13.630740166,48.898,33.672
13.681158543,48.892,33.672
13.729056835,48.888,33.672
13.781996250,48.908,33.672
13.829894543,48.928,33.672
13.880312920,48.948,33.67
13.930731297,48.896,33.67
13.981150150,48.882,33.67
14.029047966,48.896,33.668
14.081987381,48.874,33.668
14.129885197,48.868,33.668
14.180303574,48.954,33.666
14.230722427,48.9,33.666
14.281140804,48.894,33.666
14.329038620,48.896,33.664
14.381978512,48.906,33.664
14.429875851,48.892,33.664
14.480295181,48.864,33.664
14.530713558,48.938,33.664
14.581131935,48.894,33.662
14.629029274,48.838,33.662
14.681969166,48.888,33.662
14.729866981,48.878,33.662
14.780285835,48.832,33.662
14.830704212,48.9,33.66
14.881123066,48.916,33.66
14.929020405,48.838,33.66
14.981959820,48.884,33.66
